CellLine_ID,ABCB1,ABCG2,ABCC1,ABCC2,ABCC3,ABCC4
ACH-000965,0.704777301,-0.016168189,4.764010372,2.281456801,4.557574193,2.777761731
ACH-000836,0.297386678,2.160534203,4.828212697,1.226109826,1.976055843,2.871796033
ACH-000735,0.216234814,1.442900877,4.961222308,0.26766614,2.683169118,1.352061589
ACH-000235,0.078343864,1.518094738,5.624987017,0.680470947,5.470043541,3.952914208
ACH-000102,0.308604236,0.984616733,5.28706277,0.277700884,4.167550267,3.716901753
ACH-000521,3.680620802,0.050424841,4.807586427,5.93175802,5.689906685,3.659555893
ACH-000431,-0.003033238,-0.043715148,4.619101928,0.28766102,0.165632183,2.079309991
ACH-000732,0.091457372,1.378696212,3.796832115,0.53190482,1.248151176,2.098381448
ACH-000967,0.330772613,0.278088999,6.346688044,1.817651302,6.056406913,3.262413146
ACH-000221,0.563230592,-0.043715148,3.917347836,0.738410012,0.057843311,3.662801602
ACH-000871,1.734526249,0.11400356,5.324769602,0.580624082,0.809728947,2.172267905
ACH-000014,1.27104113,1.571961397,3.443050869,4.037406858,2.619000696,3.035143789
ACH-000197,0.14271371,0.063372858,5.041237373,0.54834223,0.376901246,2.944305151
ACH-000930,0.456865277,-0.043715148,5.324769602,2.697846059,2.287866644,3.643218144
ACH-000393,2.777010236,1.757349273,4.639448986,4.59420169,0.429351994,4.855240892
ACH-000887,0.065106054,4.945839338,3.95263726,5.946363835,4.88248569,3.341294286
ACH-000985,0.038247949,4.667998651,4.373621496,2.10959602,4.861079744,3.366667894
ACH-000952,0.01086318,4.780970043,7.063845089,0.226758166,2.020443803,7.808902058
ACH-000231,0.297386678,0.444785037,5.369708039,0.481346667,5.026892418,2.963629217
ACH-000087,0.065106054,-0.043715148,4.864175716,0.152018273,0.358968354,3.72624402
ACH-000294,0.038247949,0.126381172,4.54307366,0.860278721,0.091066723,2.063224429
ACH-000053,0.091457372,1.698230457,4.581314119,0.317104667,0.88590033,1.952365117
ACH-000578,0.770510772,0.521258331,5.241858488,0.464060853,6.171648422,3.15166609
ACH-000591,0.01086318,0.050424841,4.981846632,1.476904408,4.016324854,1.880833844
ACH-000995,0.065106054,0.752361356,5.396451905,0.853791386,0.196403474,2.864342909
ACH-000339,0.14271371,1.710254923,4.869051928,0.604335003,4.06795756,3.838717601
ACH-000944,0.065106054,-0.002594655,4.806200903,0.037450028,0.186221891,3.7569598
ACH-001075,0.065106054,3.283909884,4.655934342,0.917292945,2.768619848,1.118359349
ACH-000027,0.239906201,0.671133538,6.000660427,1.698494399,6.462938834,3.499448339
ACH-000152,0.263183048,0.521258331,5.194144826,0.26766614,1.950450167,4.264405011
ACH-000878,0.117320675,6.314000751,6.330386466,7.032485956,7.021822172,2.811076916
ACH-000948,0.167653274,0.210099123,3.839617607,5.387629054,6.800746959,3.606617815
ACH-000917,1.953828699,3.018107529,5.075051982,3.400750356,4.86813448,3.101729384
ACH-000063,1.231217458,2.521296354,4.881390955,0.604335003,1.209543697,3.507885058
ACH-000515,0.051741565,0.076202627,4.53084493,0.401741149,-0.011085519,3.023465488
ACH-000684,3.846223591,0.310888541,3.546467282,2.052360315,3.160442743,3.033481173
ACH-000129,-0.003033238,0.050424841,5.453556138,1.245666846,3.185463031,3.550519622
ACH-000127,0.078343864,0.037356376,5.553734486,0.257555662,0.672693906,3.03181666
ACH-000530,0.446781634,0.063372858,4.574287798,0.173801388,0.012272676,3.853964723
ACH-000744,0.065106054,3.302020538,4.806200903,6.637463413,7.706214569,0.613800496
ACH-000538,0.065106054,-0.016168189,4.692358186,0.738410012,0.057843311,3.821371939
ACH-000716,0.341726226,0.768058167,4.557394691,0.687851859,2.575735573,4.64954503
ACH-000859,0.104448894,2.039612297,4.652344077,2.815640002,1.621538892,2.708758393
ACH-000792,0.104448894,1.50891268,5.498198124,1.34390377,5.585998634,3.686385367
ACH-000822,3.971728866,0.736487177,3.609796437,2.99940047,2.239740851,1.136788382
ACH-000851,0.024622685,0.221661739,4.368638582,5.383876271,6.215035962,2.822655911
ACH-000821,0.192155278,2.274541033,4.438679636,0.013311861,-0.011085519,0.155731275
ACH-000863,1.831684918,0.414999118,4.727405896,0.084459485,3.924377334,3.160841879
ACH-000262,2.938957306,0.887692105,4.698838748,1.986999447,3.419628243,4.428032266
ACH-000288,0.216234814,1.373633684,4.36614072,1.191182618,3.262405644,3.95379976
ACH-000177,-0.003033238,0.728482313,3.332999401,0.709753688,1.076104466,2.239728668
ACH-000354,0.117320675,1.160452162,5.120441256,0.118664715,7.365829815,2.08250593
ACH-000089,4.437693927,3.510661325,4.659515782,4.329312535,5.511183579,0.698646826
ACH-000321,2.909771445,-0.016168189,6.789249973,0.665585994,0.313096868,3.718982988
ACH-000813,0.204246942,2.478066793,5.338621723,1.007234907,4.656066976,2.828411128
ACH-000383,0.038247949,2.076994101,5.38934743,0.515263215,4.793696452,2.645038846
ACH-000348,0.251593118,1.757349273,4.053649439,4.011796362,5.322372807,2.618750825
ACH-000562,0.117320675,0.174829073,5.298312848,0.766466159,4.623725771,2.320569643
ACH-000907,3.071756505,-0.043715148,4.460516983,0.873159898,4.852566518,3.60099133
ACH-000901,0.078343864,0.798935232,3.983845532,1.476904408,0.708240085,3.232241849
ACH-000260,1.586039805,0.384567966,5.061542619,3.674775659,5.017760491,3.734498331
ACH-000623,0.051741565,0.575999668,5.663201546,0.383389738,6.635192065,2.596476412
ACH-000434,0.01086318,0.530531302,3.776364784,2.020078462,4.655247047,2.719112912
ACH-000458,0.192155278,3.185496475,5.175617394,1.165665045,4.75339924,1.607486725
ACH-000685,0.341726226,0.923080623,5.527498812,1.274477248,5.32617383,2.325983176
ACH-000122,0.216234814,1.665652767,4.234766206,0.556485915,0.829166744,2.91212122
ACH-000422,0.599984778,1.636514095,5.943585767,5.501673192,5.717103301,3.196978605
ACH-000711,0.192155278,4.139576313,4.715161095,1.746100547,2.693301215,2.548563022
ACH-000760,2.80533937,0.687759175,5.276059864,0.037450028,1.864579161,3.346672893
ACH-000488,0.117320675,2.858331278,5.912350479,1.958795625,5.249710155,2.555504886
ACH-000964,0.091457372,0.0241652,4.557394691,0.588574444,0.186221891,1.473289412
ACH-000934,1.358015748,1.075283668,5.179913916,6.232625388,7.923980467,2.114086075
ACH-000523,1.110748121,0.126381172,3.882925021,0.702492792,-0.046875819,3.001526041
ACH-000646,0.104448894,-0.002594655,4.227910297,0.364783438,4.477437672,2.412522842
ACH-000691,-0.003033238,-0.043715148,4.227910297,2.316828679,-0.147083525,0.04392756
ACH-001306,1.62139811,2.754085104,4.93861513,0.173801388,2.063457832,2.304207463
ACH-000746,0.091457372,2.004449258,4.487792529,0.635310534,0.000642651,4.499184008
ACH-000408,0.104448894,1.632301649,5.168067856,0.840721702,3.963374455,2.731442104
ACH-000569,4.018777637,2.554509483,5.345019967,1.18611784,1.357927679,4.061286785
