Property,Category,Test Type,T-Statistic,P-Value,Effect Size,Group Mean,Comparison Mean
VSA_EState4,Top 10,Mann-Whitney U,50467.5,0.00018391365437411169,-15.805694305694306,8.589915885300002,3.0013826159914943
NumAromaticHeterocycles,Top 10,Mann-Whitney U,50091.0,7.750058351463093e-05,-15.68031968031968,2.0,0.8190460306871248
fr_Ar_N,Top 10,Mann-Whitney U,49140.0,0.00016609779673486857,-15.363636363636363,3.1,1.1751167444963309
NHOHCount,Top 10,Mann-Whitney U,47432.0,0.0011263969780078492,-14.794871794871796,3.9,2.275683789192795
SlogP_VSA8,Top 10,Mann-Whitney U,47208.0,0.0005708642163175572,-14.72027972027972,18.365917911,6.8186663244953305
fr_NH2,Top 10,Mann-Whitney U,45825.0,4.26199093937697e-05,-14.25974025974026,1.0,0.26100733822548366
SlogP_VSA1,Top 10,Mann-Whitney U,45604.5,0.004082705057087381,-14.186313686313687,13.892148576100002,8.799801450295531
fr_ArN,Top 10,Mann-Whitney U,45572.0,3.4593099654357065e-09,-14.175491175491176,0.7,0.09156104069379586
fr_pyridine,Top 10,Mann-Whitney U,45287.0,3.709810866897047e-05,-14.08058608058608,0.8,0.22114743162108072
SMR_VSA3,Top 10,Mann-Whitney U,45269.0,0.004931319712713457,-14.074592074592074,17.2411206311,10.033418157518177
fr_NH0,Top 10,Mann-Whitney U,43791.5,0.009761195671005295,-13.582584082584082,3.2,1.7236490993995996
AUTOCORR2D_132,Top 10,Mann-Whitney U,43778.5,0.011784408600070963,-13.578255078255077,0.07310000000000001,-0.08325733822548366
NumHeterocycles,Top 10,Mann-Whitney U,43483.0,0.010998546807109717,-13.47985347985348,2.4,1.5010006671114076
NumHDonors,Top 10,Mann-Whitney U,43376.0,0.011755598716621423,-13.444222444222444,2.9,2.0203468979319545
fr_aniline,Top 10,Mann-Whitney U,43264.5,0.0049436137783479585,-13.407092907092908,1.7,0.5888925950633755
TPSA,Top 10,Mann-Whitney U,43088.5,0.016729900946063865,-13.348484848484848,114.96000000000001,86.04458639092728
AUTOCORR2D_168,Top 10,Mann-Whitney U,43066.0,0.016757147545533514,-13.340992340992342,1.2799,0.9753138759172781
PEOE_VSA3,Top 10,Mann-Whitney U,42941.0,0.014313942787166564,-13.299367299367299,8.4502647112,5.538578636602901
NumAromaticRings,Top 10,Mann-Whitney U,42876.0,0.015762146081319393,-13.277722277722278,3.2,2.0675450300200136
AUTOCORR2D_151,Top 10,Mann-Whitney U,42173.0,0.025992891306954563,-13.043623043623043,1.3066999999999998,0.9855547031354237
NumHAcceptors,Top 10,Mann-Whitney U,41617.0,0.03220273709778081,-12.858474858474858,7.1,5.121247498332221
AUTOCORR2D_155,Top 10,Mann-Whitney U,41348.0,0.03799603148415847,-12.76889776889777,1.0867999999999998,0.9663162108072049
