Drug,Pearson_Correlation,Label,AvgIpc,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BCUT2D_MWHI,BCUT2D_MWLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,Phi,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SPS,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_aniline,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_halogen,fr_imide,fr_methoxy,fr_morpholine,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_thiazole,fr_unbrch_alkane,qed
LOMEGUATRIB (BRD:BRD-K27955832-001-02-9),-0.1555213028350299,0,2.940693253,2.09789534,-2.041818605,2.236584772,-2.010086377,9.103189499,0.300770941,79.9187311,10.46440349,1.874910929,694.4524453,12.53516943,9.052609698,11.45510282,8.720346691,5.044769864,6.717420945,3.508013869,5.419471313,2.242647255,3.913773256,1.496095918,2.858294736,0.0,0.0,0.0,5.948339281,23.65074824,9.34986671,6.327320075,11.33678588,11.44642984,35.86585798,10.47053043,1.444444444,2.333333333,3.111111111,0.1,-1.67,18,318.115,23801.97119,11.42208965,4.540804639,2.160522942,114.3645551,5.645046296,0.470283299,5.645046296,0.244950216,0.149963099,0.244950216,0.149963099,-0.470283299,2.3381,72.4471,326.179,3,6,0,0,0,0,0,3,3,0,0,6,2,8,3,3,0,0,0,92,15.45450895,12.12358268,5.647177221,11.82832762,0.0,0.0,0.0,4.983978521,9.967957042,11.33678588,0.0,21.99631097,14.72992948,6.327320075,2.881415426,3,4.736862954,44.378947,0.0,19.93591408,0.0,6.606881965,5.733667477,27.12361662,5.879988336,10.94444444,10.47053043,5.948339281,5.879988336,27.26672978,19.93591408,6.606881965,0.0,4.877147194,22.24646943,0.0,11.16387794,89.71,6.686702439,5.004713273,16.1079861,1.998828971,6.753056304,0.566187589,1.999373583,1.535096188,0.431388889,0.0,0,0,1,4,1,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.770947277
CHLOROXYLENOL (BRD:BRD-K17223896-001-10-0),-0.1535260666136455,0,1.823590004,1.993129165,-2.011776479,2.239387202,-1.790471946,6.316561139,0.474207633,35.49569128,10.13940342,3.310532875,232.4296584,7.723614639,5.979878607,6.735807553,4.609060905,3.067289573,3.445254046,2.393548331,2.771512804,1.421207562,2.017389926,0.923043324,1.032152269,0.0,0.0,0.0,5.749511833,0.0,16.1495363,0.0,12.13273414,13.8474744,0.0,16.70746729,1.2,1.6,2.0,0.25,-0.69,10,147.54,153.1815603,7.417411386,2.506569015,1.241725826,65.25878733,9.059691358,0.507944329,9.059691358,0.115709908,0.277222222,0.115709908,0.277222222,-0.507944329,2.66244,42.5908,156.612,1,1,0,0,0,0,1,0,1,0,0,1,1,2,0,0,0,0,0,54,5.106527395,5.749511833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.60093989,37.10711152,5.022633314,0.0,1.859225355,1,5.106527395,11.60093989,0.0,0.0,0.0,13.8474744,0.0,28.28227043,5.749511833,9.9,0.0,0.0,5.749511833,11.60093989,5.106527395,0.0,13.8474744,11.12690298,12.13273414,5.022633314,0.0,20.23,0.0,5.838518519,0.0,9.793765432,1.831790123,0.277222222,3.296296296,0.0,3.740185185,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.612519318
AC-264613 (BRD:BRD-K81548480-001-01-2),-0.1529290823189789,0,3.015139005,2.404764589,-2.153009273,2.285476326,-2.347391115,9.103005894,-0.132964274,79.9187312,9.879404008,1.749160929,820.4287348,17.81119031,13.69963439,15.28563093,12.05855065,7.987655348,8.780653618,5.923614299,6.839289828,4.267430189,4.760681827,2.919978345,3.319216753,11.82508578,9.589074368,0.0,11.82508578,12.25644141,15.5996225,0.0,0.0,61.52104082,31.77393142,0.0,1.2,1.96,2.68,0.210526316,-2.47,25,382.132,623241.2928,17.35618038,7.610773054,3.961441216,154.1930357,12.55388857,0.354736457,12.55388857,0.252840998,0.185114953,0.252840998,-0.776426419,-0.354736457,2.8191,100.1784,400.276,2,5,0,1,1,2,2,0,2,2,0,3,2,6,1,4,0,1,1,128,5.316788604,5.917906046,0.0,5.907179729,5.907179729,0.0,9.589074368,5.425791397,5.101407526,0.0,58.39451338,30.18337432,16.93538197,5.711685003,5.283757997,3,9.589074368,33.45598836,0.0,10.74258,11.01931357,12.84164325,6.544756406,70.19692612,0.0,20.24,10.74258,0.0,0.0,15.9299439,24.07080087,9.589074368,5.917906046,23.96854623,64.17143066,0.0,0.0,70.56,0.93536005,3.410700088,24.68606867,6.930293944,5.076068574,-1.614447345,17.22802623,0.0,2.264596462,0.0,0,0,0,0,0,0,0,0,2,2,0,0,1,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.47088919
VALACICLOVIR (BRD:BRD-K46435977-003-11-1),-0.1511901777212545,0,2.886938304,2.178959388,-2.140518916,2.06038022,-2.370288454,5.752703561,-0.147779926,16.56004302,10.0673902,1.836016512,737.6302383,16.98276318,12.98270564,12.98270564,10.89675461,7.10416805,7.10416805,5.313412383,5.313412383,3.201544342,3.201544342,1.811810694,1.811810694,17.57041301,9.589074368,0.0,37.32752672,5.647177221,0.0,6.327320075,4.567099648,13.8474744,14.95193556,20.94106086,1.434782609,2.173913043,2.869565217,0.538461538,-2.46,23,304.181,138290.1186,16.90278083,7.20121792,4.047252657,131.3405965,11.58581357,0.462068954,11.58581357,0.322756283,0.00078988,0.322756283,-0.645238163,-0.462068954,-0.7976,82.2855,324.341,5,10,0,0,0,0,0,2,2,1,0,9,3,10,2,7,0,0,0,126,25.92503938,25.02671676,5.516700718,5.948339281,0.0,11.52857218,14.15617402,4.983978521,4.983978521,0.0,13.8474744,5.917906046,0.0,12.93420204,5.292200356,2,14.26826309,23.08152251,0.0,19.51903521,11.65157352,26.62013198,18.94743141,16.68112415,0.0,12.69565217,17.02660185,5.948339281,0.0,0.0,44.74394526,20.99907984,5.917906046,13.8474744,11.12185726,0.0,11.16387794,151.14,11.95270303,0.0,33.38804616,0.0,11.24842267,-0.44691168,-0.645238163,1.434894442,4.068083539,0.0,0,0,1,4,1,0,0,0,1,1,0,0,3,1,2,0,0,0,1,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442142764
OLANZAPINE (BRD:BRD-K18895904-001-16-1),-0.1505197319836146,0,2.802795322,2.247383031,-2.340197268,2.38553759,-2.468859248,7.161561412,0.215622872,32.13356977,10.18423203,1.809406766,726.0102104,15.10408353,12.96506755,13.78156413,10.70350994,7.695893882,8.512390463,5.967732669,7.224055656,4.277593084,5.24351891,3.005959912,3.92586878,0.0,0.0,0.0,0.0,0.0,43.38941796,15.44168066,11.33678588,0.0,59.41985259,4.992404733,1.136363636,1.909090909,2.727272727,0.352941176,-1.85,22,292.282,183740.0501,13.78829658,5.409294431,2.401272703,134.6366451,5.010732237,0.353444603,5.010732237,0.139220955,1.025445484,0.139220955,1.025445484,-0.353444603,3.43922,94.0477,312.442,1,4,0,2,2,0,1,1,2,0,0,5,1,5,3,0,0,1,1,114,15.11660807,10.83670176,0.0,0.0,0.0,0.0,0.0,4.992404733,0.0,11.33678588,12.13273414,32.17051039,31.05617282,16.93822404,3.390225269,4,0.0,33.54826019,0.0,9.799819462,4.992404733,6.9237372,38.54348621,40.77243403,0.0,18.09090909,5.316788604,16.37585453,0.0,11.33678588,48.86213685,0.0,6.9237372,10.44059869,35.32424007,0.0,0.0,30.87,0.0,1.806375635,11.12909103,4.776957278,3.356908961,1.115648148,10.55659549,0.0,6.407959971,2.183796821,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0.80825619
"CHROMANOL-293B-(-)-[3R,4S] (BRD:BRD-K27911943-001-02-8)",-0.1438554715682322,0,2.469880155,2.465023563,-2.443517979,2.430597627,-2.535703393,7.8856186,-0.076321192,32.23338231,9.858324522,2.636342849,721.548262,16.7067423,13.06849208,13.88498866,10.13619423,7.005873372,8.61503868,5.876366806,8.193512528,4.037194922,5.871468791,2.607497837,3.589670774,27.77014918,13.52432438,0.0,5.752853607,16.87641482,0.0,11.35288797,38.9703128,6.069221313,0.0,9.998754509,1.454545455,2.090909091,2.636363636,0.533333333,-1.62,22,304.242,53635.91744,16.74543074,5.539021388,2.695976288,130.5310192,12.22838144,0.484731559,12.22838144,0.213726499,0.068174839,0.213726499,-3.508339593,-0.484731559,1.41278,81.8356,324.402,1,6,0,1,1,0,1,0,1,2,0,5,1,7,1,3,0,0,0,120,9.843390349,17.45452903,0.0,10.02329115,0.0,0.0,0.0,8.417796984,9.567107546,0.0,0.0,38.9703128,12.61112347,23.42736724,4.216059047,2,18.26118733,10.02329115,5.261891555,4.305215991,0.0,38.51806963,12.80052559,29.32600419,11.81873315,23.5,4.736862954,0.0,5.749511833,0.0,42.33508316,10.02329115,11.33111287,37.93995541,18.19910121,0.0,0.0,90.63,31.40219632,0.0,0.0,19.6758142,-0.045796603,0.415577995,6.043756692,-1.05530754,4.964015574,-2.066923304,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.907641931
PILOCARPINE (BRD:BRD-K85090592-008-22-7),-0.1426102578107701,0,2.756300787,2.350989462,-2.124150819,2.274084941,-2.177030124,5.741890864,-0.140835258,16.54015839,9.892045408,2.064704832,359.2248242,10.83649881,9.141645192,9.141645192,7.219545353,5.338429133,5.338429133,4.104868294,4.104868294,3.139072244,3.139072244,2.155921076,2.155921076,0.0,4.794537184,0.0,11.88721133,12.52478801,18.53557124,0.0,6.327320075,24.7353524,4.983978521,4.736862954,1.666666667,2.466666667,3.066666667,0.636363636,-1.32,15,192.133,4051.762157,10.20639785,4.0448635,1.887685272,89.2589561,11.3844983,0.465124904,11.3844983,0.308854678,0.037344104,0.308854678,-0.037344104,-0.465124904,1.1618,55.142,208.261,0,4,0,1,1,0,0,1,1,2,0,4,0,4,2,3,0,1,1,82,9.303962602,0.0,0.0,0.0,0.0,5.969305288,4.794537184,4.983978521,0.0,0.0,6.9237372,12.84164325,24.8563496,18.85210809,2.752232408,2,9.531400138,5.969305288,0.0,9.551078169,18.88348408,19.76538045,6.606881965,18.21809164,0.0,25.6,0.0,0.0,0.0,0.0,22.12726542,22.99989374,11.83581209,19.03848682,12.52416365,0.0,0.0,44.12,7.08457294,0.0,15.45538124,0.0,1.163657407,0.349507748,0.0,5.380486111,2.593263889,1.973130669,0,0,0,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700090748
AMINOHYDROXYBUTYRIC-ACID (BRD:BRD-A40777960-001-04-2),-0.1418449817166348,0,1.6478689,2.044703091,-1.997593931,1.853792389,-2.220987199,5.667834051,-0.138526152,16.36847639,10.25244756,3.236426783,83.35260811,6.568914101,4.371589582,4.371589582,3.66390246,2.264228095,2.264228095,1.487388455,1.487388455,0.682321008,0.682321008,0.28490125,0.28490125,12.07327168,4.794537184,0.0,12.96557803,0.0,0.0,0.0,0.0,0.0,0.0,15.94672227,1.75,2.25,2.375,0.75,-0.61,8,110.048,42.84459141,7.39,3.399300137,3.575528757,46.92395767,9.753055556,0.481158805,9.753055556,0.305523066,0.00625,0.305523066,-1.025046296,-0.481158805,-1.2193,27.314,119.12,4,4,0,0,0,0,0,0,0,1,0,3,3,4,0,3,0,0,0,48,15.94672227,0.0,0.0,0.0,0.0,5.969305288,4.794537184,0.0,0.0,0.0,0.0,0.0,6.544756406,12.52478801,3.140103501,0,15.00759197,5.969305288,0.0,0.0,5.733667477,12.52478801,6.544756406,0.0,0.0,13.25,5.733667477,0.0,0.0,0.0,28.83108287,4.794537184,0.0,6.420821623,0.0,0.0,0.0,83.55,0.0,0.0,9.753055556,16.52194444,4.906990741,-1.025046296,0.0,-1.163194444,0.00625,0.0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434538525
LANDIOLOL (BRD:BRD-K86436199-003-01-3),-0.1403647999079617,0,3.237878142,2.328090189,-2.265047346,2.220882951,-2.473664066,5.73757294,-0.157822305,16.74875043,10.10733953,1.212989745,814.0272748,25.80490785,21.20154821,21.20154821,17.30446357,12.49021134,12.49021134,9.277958739,9.277958739,5.737321217,5.737321217,3.758073554,3.758073554,11.89107754,14.69560176,0.0,37.73897174,64.71476138,5.563451492,0.0,4.899909731,38.11294267,10.63357721,23.68431477,1.194444444,1.944444444,2.638888889,0.68,-2.44,36,470.288,101562912.2,28.13631646,14.33754168,10.27454403,211.8982031,12.00773728,0.490849114,12.00773728,0.317100259,0.095165059,0.317100259,-0.68591332,-0.490849114,0.685,130.7882,509.6,3,11,0,2,2,2,1,0,1,2,0,9,3,11,2,13,0,2,2,202,44.3243291,31.17120854,5.787111153,0.0,0.0,12.0004198,4.794537184,4.794537184,0.0,0.0,12.13273414,37.96448165,39.14460365,19.82064589,11.20571139,3,38.37991653,12.0004198,0.0,15.53348694,0.0,44.68416157,65.75819185,29.82891977,5.749511833,20.08333333,15.37044016,4.794537184,5.749511833,0.0,105.7600927,30.16281062,0.0,25.83174751,24.26546827,0.0,0.0,127.82,27.2312892,0.0,25.7173595,16.06261053,0.988170861,-0.268974164,7.310791534,-0.086319512,8.128405386,0.0,1,1,0,0,0,0,0,0,2,2,0,0,1,2,0,0,0,0,0,0,0,2,0,1,1,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0.259847566
L-701252 (BRD:BRD-K10176267-001-03-3),-0.1399712791553473,0,3.111942751,2.337325793,-2.059575436,2.353960015,-2.187412074,6.30890395,0.096349308,35.49569126,10.0470318,2.295275088,715.9835167,12.86144284,9.365289289,10.12121823,8.5753874,5.664042912,6.042007385,4.506161134,4.942596915,3.143341615,3.378438718,2.031645187,2.203748211,5.559266895,14.69560176,0.0,23.01411432,15.92555825,12.84164325,0.0,18.19910121,0.0,4.983978521,11.60093989,1.388888889,2.111111111,2.777777778,0.230769231,-1.81,18,253.6,25847.79649,11.29007946,3.848862649,1.692671453,107.2071971,11.95317285,0.506266702,11.95317285,0.262621613,0.109490548,0.262621613,-0.55632716,-0.506266702,2.4798,68.298,263.68,2,4,1,0,1,0,1,1,2,0,0,3,2,5,1,2,1,0,1,92,10.09050592,11.31296332,5.783244946,0.0,5.559266895,0.0,9.589074368,0.0,0.0,0.0,11.60093989,31.04074445,16.32676357,5.516700718,2.414109173,3,9.901064579,28.28710977,0.0,4.983978521,5.917906046,12.84164325,0.0,39.13899009,5.749511833,14.94444444,5.559266895,0.0,5.749511833,11.60093989,15.87375086,0.0,5.917906046,23.19963192,22.99363839,5.022633314,10.90292493,70.16,0.0,5.815530815,26.39537429,10.97495565,-0.260336987,-0.629938079,4.739397833,1.576127593,0.0,0.0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.817994245
BUTHIONINE-SULFOXIMINE (BRD:BRD-A47706533-001-02-6),-0.13969258641981,0,2.107420418,2.142632894,-2.084383518,2.017292493,-2.319108383,7.918829926,-0.138051487,32.22448621,10.24219445,3.932522668,274.3109791,11.19023444,8.362192911,9.178689492,6.387845994,4.613235564,6.509517726,3.307042429,5.747208758,1.903409676,3.746718964,0.920369717,2.514158574,21.7401583,9.003435676,0.0,12.17367523,5.752853607,12.84164325,0.0,0.0,6.9237372,0.0,15.61977304,1.571428571,2.142857143,2.571428571,0.875,-0.62,14,204.166,750.2416689,13.38,5.975542973,5.929515341,84.6579719,11.49022298,0.480086057,11.49022298,0.320001484,0.083796296,0.320001484,-2.615648148,-0.480086057,0.63527,55.7323,222.31,4,5,0,0,0,0,0,0,0,2,0,4,3,6,0,7,0,0,0,84,10.84019487,6.041840829,0.0,0.0,0.0,5.969305288,9.574115348,4.208898492,0.0,0.0,13.34455882,12.84164325,21.2347194,0.0,5.710911784,0,14.10996307,15.69831747,4.779578164,0.0,5.733667477,32.2280429,11.50570721,0.0,0.0,17.28571429,5.733667477,0.0,0.0,0.0,32.83227922,14.52354937,4.779578164,26.18620207,0.0,0.0,0.0,104.24,18.93325775,0.0,10.35120551,8.475899235,5.243894637,-0.674320961,-0.99740599,1.742934461,1.956850172,-2.615648148,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.587400125
NU-6027 (BRD:BRD-K03294269-001-08-0),-0.1394508905889321,0,2.368299904,2.17682381,-2.210477419,2.319532122,-2.159735054,5.646254309,0.20348287,16.48697575,9.899601343,2.052249003,431.6869032,12.95781916,10.13282886,10.13282886,8.7027086,6.095502595,6.095502595,4.527132632,4.527132632,3.168078664,3.168078664,2.204947967,2.204947967,0.0,4.907065244,0.0,23.33357667,12.52478801,12.84164325,19.26246487,0.0,0.0,15.14483897,16.20419791,1.222222222,1.944444444,2.611111111,0.636363636,-1.92,18,234.154,13745.61265,12.5346726,5.612224588,2.848586019,104.9075213,10.6797334,0.475573352,10.6797334,0.25038302,0.015236888,0.25038302,-0.069435705,-0.475573352,1.998,68.3818,251.29,4,7,1,0,1,0,0,1,1,0,0,7,2,7,1,4,1,0,1,98,16.20419791,0.0,5.817862778,11.63572556,5.879988336,0.0,0.0,0.0,9.967957042,4.907065244,19.26246487,23.93643122,0.0,6.606881965,3.908188764,2,4.736862954,17.45358833,0.0,9.967957042,11.09478797,32.10410811,18.07421692,4.907065244,5.879988336,16.44444444,16.20419791,17.45358833,5.879988336,0.0,16.57483901,0.0,10.82497129,32.10410811,5.176881928,0.0,0.0,116.48,5.524305556,0.0,18.21014511,2.79434949,10.93298273,0.519377887,0.0,6.006524418,0.512314815,0.0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.790190763
PARGYLINE (BRD:BRD-K83597974-003-22-2),-0.1392176588814235,0,2.061213671,1.95298114,-2.118592182,2.006673486,-2.170050954,5.140196608,0.368977479,15.07574916,10.1940426,2.480668699,258.0826435,8.811554788,7.325528773,7.325528773,5.825698503,3.986134646,3.986134646,2.862012801,2.862012801,1.656520505,1.656520505,1.106831972,1.106831972,0.0,0.0,0.0,0.0,6.544756406,6.544756406,5.563451492,0.0,25.24677319,22.95307819,6.423349896,1.333333333,2.0,2.583333333,0.272727273,-1.26,12,146.128,585.3846826,8.83310987,4.58398266,2.773447112,74.01517275,5.191416604,0.291126464,5.191416604,0.059883154,0.703268141,0.059883154,0.703268141,-0.291126464,1.7516,51.609,159.232,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,3,0,0,0,62,0.0,0.0,0.0,0.0,0.0,0.0,4.899909731,0.0,0.0,6.423349896,36.25226966,12.61112347,6.544756406,6.544756406,3.374235206,1,0.0,0.0,0.0,4.899909731,0.0,6.544756406,13.59242839,35.89528683,12.34378421,9.75,0.0,0.0,0.0,0.0,18.49233812,6.544756406,12.34378421,5.563451492,30.33183534,0.0,0.0,3.24,0.0,0.0,2.106481481,0.0,1.301157407,2.61363733,10.30834459,5.191416604,1.624934807,2.020694444,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607262791
ABEMACICLIB (BRD:BRD-K33622447-066-01-9),-0.1391656601709467,0,3.23174664,2.188547218,-2.334578652,2.300838276,-2.450945619,5.827050336,0.131605149,19.14363103,10.10192331,1.347617662,1392.051065,26.10371905,21.67051669,21.67051669,17.81690214,12.69687724,12.69687724,9.72581984,9.72581984,6.84192596,6.84192596,4.91555386,4.91555386,11.63444168,8.780830095,0.0,23.20080882,22.72241949,51.0288335,6.066367068,6.066367068,43.66788896,41.97625935,0.0,0.945945946,1.702702703,2.378378378,0.407407407,-3.5,37,474.349,263232330.7,25.16222222,10.46932067,5.303824394,214.9341123,14.93828546,0.325554214,14.93828546,0.228595686,0.009537893,0.228595686,-0.636007893,-0.325554214,4.93692,140.7077,506.605,1,8,0,1,1,0,1,3,4,0,0,8,1,10,4,7,0,1,1,194,14.78379798,22.85289599,11.63444168,5.948339281,0.0,0.0,4.899909731,28.71674418,0.0,0.0,12.99010427,51.0785207,50.52591792,11.71354429,7.119766845,5,8.780830095,22.79960349,0.0,34.30283319,0.0,40.28154603,38.04057063,59.68145309,11.25737949,15.10810811,5.316788604,20.54703215,0.0,0.0,67.02661522,6.544756406,18.55817888,38.20090842,36.65915542,0.0,22.29078092,75.0,31.65595987,0.0,22.13224909,3.039476749,2.315977514,0.274947953,6.939818271,2.916416996,14.22515355,0.0,0,0,0,5,0,0,0,0,0,0,0,0,7,1,0,0,1,0,0,0,0,0,2,1,1,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0.380688307
YC-1 (BRD:BRD-K60476892-001-17-9),-0.1389224336928614,0,3.208686768,2.147806709,-2.027412298,2.293104265,-2.008459724,5.916040465,0.248382776,16.36111771,10.15247532,1.826682316,938.3353597,15.6480536,12.5149556,12.5149556,11.34766789,7.543741673,7.543741673,5.43307644,5.43307644,3.884008166,3.884008166,2.776463098,2.776463098,0.0,5.106527395,0.0,6.606881965,18.06525124,16.59685293,5.563451492,6.066367068,47.14637241,18.19910121,9.515832745,0.913043478,1.695652174,2.47826087,0.105263158,-2.85,23,288.221,457597.2373,13.78829658,5.740569399,2.533574229,133.1529368,9.191797601,0.456903262,9.191797601,0.154810683,0.108475736,0.154810683,-0.108475736,-0.456903262,3.8369,88.9018,304.349,1,4,0,0,0,0,2,2,4,0,0,4,1,4,2,4,0,0,0,114,9.523678332,18.06105738,5.760247419,0.0,0.0,0.0,4.681802935,0.0,5.098681808,0.0,48.53093655,23.7625527,5.386224214,12.06145712,3.441420583,4,9.523678332,10.90292493,0.0,9.780484743,0.0,13.15163837,0.0,78.05373666,11.45417541,11.17391304,0.0,0.0,0.0,0.0,14.88701214,13.15163837,0.0,11.32369891,71.14718869,0.0,22.35710035,51.19,7.651911848,0.0,0.0,14.97933398,3.062340587,1.221066828,21.99052979,0.0,0.59481697,0.0,1,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.623040534
ERYTHROMYCIN-ETHYLSUCCINATE (BRD:BRD-K51677086-001-12-0),-0.137393290751094,0,3.171975488,2.538207937,-2.490675141,2.408970601,-2.613711421,5.833586327,-0.31858025,16.72361653,9.736696808,2.215056633,1441.07561,45.6536071,38.24504897,38.24504897,27.7512173,21.49100611,21.49100611,18.24075789,18.24075789,12.90205733,12.90205733,9.169374877,9.169374877,131.6195628,39.60425832,0.0,38.71099008,6.420821623,0.0,27.88100914,48.4661604,25.9189909,0.0,37.89490363,0.85,1.466666667,2.033333333,0.906976744,-2.32,60,786.464,1730000000000.0,52.02682291,21.37003689,12.22822433,355.5405453,14.29459269,0.465957751,14.29459269,0.31118842,0.043069317,0.31118842,-2.043391915,-0.465957751,2.6798,215.9982,862.064,4,17,0,3,3,0,0,0,0,18,0,17,4,17,3,12,0,3,3,348,63.22092294,23.59222853,18.68401985,0.0,0.0,17.90791586,19.17814874,0.0,0.0,0.0,27.6949488,81.82396923,31.2843373,73.13020565,18.53025208,3,77.49916195,23.69116081,0.0,4.899909731,23.67162418,198.9428168,27.81202347,0.0,0.0,43.81666667,0.0,0.0,0.0,0.0,161.0859814,57.07305237,23.67162418,114.6860389,0.0,0.0,0.0,226.28,48.77026406,0.0,55.63158324,46.80025628,-5.055684559,-6.644539833,-0.44269615,-11.12701257,17.89022674,5.094269469,4,2,0,0,0,0,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0.163460446
