Drug,Pearson_Correlation,Label,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,Phi,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SPS,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Nhpyrrole,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_aniline,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_furan,fr_halogen,fr_imidazole,fr_ketone,fr_ketone_Topliss,fr_methoxy,fr_nitrile,fr_nitro,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_pyridine,fr_sulfide,fr_thiazole,fr_thiophene,fr_unbrch_alkane,qed
BISINDOLYLMALEIMIDE-IX (BRD:BRD-K06543683-066-02-1),0.2822752777965638,1,3.419189935,1.670024887,1476.759082,23.11215522,18.09134537,18.90784195,15.9523975,10.64882625,11.63442481,8.023660883,9.160410714,5.956324709,6.760128223,4.558063196,5.051413411,0.0,9.589074368,16.98201123,17.69096547,45.10642808,11.76188495,0.0,72.53939532,9.883888252,11.14295108,0.939393939,1.515151515,2.181818182,0.16,-3.78,33,434.375,46957451.82,21.08603748,8.290483025,3.618786279,194.3003932,13.05334041,13.05334041,0.110256751,-0.376877334,3.71697,133.8098,457.559,4,7,0,1,1,2,2,2,4,0,0,6,3,8,3,6,0,0,0,166,14.86786677,0.0,5.16765177,0.0,11.81435946,0.0,20.31514658,0.0,0.0,0.0,48.16008736,18.55355576,64.67172199,11.14620906,5.297376843,5,9.589074368,61.6959551,5.409283606,14.4509879,12.78133946,12.96557803,5.752853607,72.05152667,0.0,13.96969697,11.05045608,0.0,0.0,11.76188495,31.86906413,23.18150276,5.409283606,17.54772461,60.92462369,0.0,32.95205892,105.9,4.079852098,1.3171332,26.05220827,11.8633698,9.752587794,-0.014705122,15.76927638,4.695244838,0.715515639,1.936183764,0,0,0,2,0,0,2,2,0,2,2,1,0,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0.177567004
OCTENIDINE (BRD:BRD-K04568635-300-01-4),0.2884601694689774,1,2.983155481,1.419085327,850.7585823,28.35103164,26.37821928,26.37821928,19.81319305,17.14716765,17.14716765,11.7157377,11.7157377,7.941802443,7.941802443,5.257864932,5.257864932,0.0,0.0,0.0,0.0,36.89348652,128.4164325,0.0,0.0,72.03451626,9.984809465,0.4,0.7,1.05,0.722222222,-2.1,40,488.424,792751135.8,34.10301214,24.67665122,18.28637343,246.6268762,4.739863318,4.739863318,0.970280928,0.970280928,9.633,173.412,550.92,0,4,0,0,0,0,0,2,2,0,0,4,0,4,2,25,0,0,0,226,9.134199296,0.0,0.0,0.0,0.0,0.0,9.984809465,0.0,0.0,0.0,116.5806204,49.94875477,50.96639991,10.7144609,21.0387034,2,0.0,0.0,0.0,9.134199296,9.984809465,155.3534197,13.08951281,59.76730346,0.0,11.15,10.7144609,0.0,0.0,0.0,22.22371211,13.08951281,0.0,142.2639069,59.03765203,0.0,0.0,34.58,4.63425561,0.0,9.479726636,2.267662865,0.0,0.0,8.70769592,35.50716212,8.736830182,0.0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,17,0.110308797
DIHYDROARTEMISININ (BRD:BRD-K62213621-001-01-6),0.2993702239362629,1,2.628280998,1.817281732,411.0680535,14.12095586,12.3727355,12.3727355,9.461779517,7.843368977,7.843368977,7.295866811,7.295866811,6.122915805,6.122915805,4.885408237,4.885408237,23.96821542,5.106527395,11.83581209,11.83581209,19.26246487,6.420821623,0.0,13.8474744,6.9237372,19.24886781,1.05,1.85,2.65,1.0,-0.2,20,260.16,48486.52784,13.46204986,4.16883066,1.557191034,119.002826,10.19637944,10.19637944,0.037876039,-0.781267479,2.1867,69.0468,284.352,1,5,1,4,5,0,0,0,0,8,2,5,1,5,4,0,1,4,5,114,14.5802533,0.0,18.18110427,5.787111153,0.0,0.0,0.0,9.775141907,0.0,0.0,13.8474744,38.02201416,18.25663372,0.0,2.80605031,5,24.35539521,0.0,0.0,0.0,23.67162418,70.42271351,0.0,0.0,0.0,61.8,0.0,0.0,0.0,0.0,29.07474282,19.24886781,23.67162418,46.45449809,0.0,0.0,0.0,57.15,11.8519213,0.0,11.62555367,10.19637944,-0.549282407,0.436706822,0.0,2.723659769,6.215061413,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.690996397
THIOMERSAL (BRD:BRD-K61443650-236-13-1),0.3039688311864416,1,2.147632027,2.844925641,301.4211053,9.681798276,7.487324816,13.80155144,6.253218858,4.204987273,15.8113847,2.649773694,15.80183793,1.579157659,13.62736138,0.981208287,9.77195931,29.02913687,4.794537184,0.0,5.563451492,4.895483476,3.929575569,12.13273414,20.37493718,6.9237372,5.106527395,1.538461538,2.230769231,2.846153846,0.222222222,-0.024935065,13,372.754,917.0388756,11.05213584,5.652060601,3.309350743,92.28496684,10.79626496,10.79626496,0.459212963,-0.860123457,2.9126,49.7393,382.834,1,2,0,0,0,0,1,0,1,0,0,2,1,4,0,4,0,0,0,66,0.0,0.0,0.0,0.0,0.0,92.7501205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.805180119,1,32.96089616,14.21150833,0.0,0.0,0.0,15.74879624,0.0,29.82891977,0.0,9.307692308,0.0,0.0,0.0,8.242203045,11.07583268,23.05983158,0.0,17.28172588,29.16095175,3.929575569,0.0,37.3,1.27640873,-0.860123457,11.75322484,8.876342908,0.459212963,-0.812404573,7.25651581,0.0,2.178507968,1.816759259,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.813540749
PR-619 (BRD:BRD-K54395039-001-01-7),0.3042853083097879,1,2.135918047,3.155880995,393.6818992,10.55204176,6.890188175,8.523181337,6.68507051,3.36562431,4.998617472,2.14182166,3.794871133,1.319196172,2.59557547,0.768753765,1.69402778,0.0,0.0,11.63572556,9.790966951,23.5237699,0.0,6.066367068,10.80250659,4.983978521,21.99111806,1.071428571,1.5,1.857142857,0.0,-1.57,14,218.246,1305.045926,10.51045052,4.606167433,2.222137665,89.09209614,8.460795777,8.460795777,0.204944255,0.204944255,1.39236,56.0018,223.286,4,5,0,0,0,0,0,1,1,0,0,7,2,7,1,2,0,0,0,70,11.46733495,22.43823215,0.0,0.0,0.0,0.0,0.0,4.983978521,10.52378311,0.0,0.0,29.59013697,0.0,9.790966951,3.458063922,1,0.0,35.15949545,10.52378311,4.983978521,0.0,9.790966951,11.46733495,6.066367068,10.80250659,9.0,11.46733495,11.63572556,0.0,23.5237699,4.983978521,0.0,21.3262897,0.0,15.85733402,0.0,0.0,112.51,0.0,1.780765306,4.849166667,20.67617725,11.03455782,0.409888511,1.582777778,0.0,0.0,0.0,0,0,2,1,0,0,0,0,0,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0.574961424
MENADIONE (BRD:BRD-K78126613-001-28-5),0.3058228832514869,1,2.146239891,2.690389535,427.4713488,9.422285252,7.203247927,7.203247927,6.198377303,4.062948829,4.062948829,3.066308967,3.066308967,2.142906659,2.142906659,1.4483418,1.4483418,0.0,9.589074368,11.56648989,16.70000751,0.0,6.076020107,31.18920547,0.0,0.0,0.0,1.0,1.615384615,2.307692308,0.090909091,-1.7,13,164.119,1131.068422,7.923967215,2.660118248,1.108542549,75.88372371,11.54157407,11.54157407,0.046111111,-0.076203704,2.0119,48.86,172.183,0,2,1,0,1,0,1,0,1,0,0,2,0,2,0,0,0,0,0,64,0.0,0.0,11.56648989,0.0,0.0,0.0,9.589074368,0.0,0.0,0.0,24.26546827,12.99975731,16.70000751,0.0,1.621437676,2,9.589074368,11.56648989,0.0,0.0,0.0,6.9237372,0.0,47.04149589,0.0,15.30769231,0.0,0.0,0.0,0.0,11.56648989,0.0,0.0,27.63971455,35.91459291,0.0,0.0,34.14,0.0,0.0,22.95444444,0.0,1.550277778,-0.122314815,6.894537037,1.393518519,1.66287037,0.0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.599483491
OLDA (BRD:BRD-K95523387-001-09-6),0.3146266491916621,1,2.731971521,1.872125059,597.9415465,21.86575026,19.00313533,19.00313533,14.63022896,12.05696848,12.05696848,8.257308406,8.257308406,5.441309498,5.441309498,3.51546035,3.51546035,0.0,15.00759197,17.4062034,19.38639965,18.40509474,82.76177199,6.066367068,0.0,24.39256602,0.0,0.833333333,1.433333333,2.066666667,0.653846154,-1.97,30,374.29,3600522.639,26.06567606,17.85173801,14.08224738,183.3404942,11.87859132,11.87859132,0.093173814,-0.118542687,6.794,125.9373,417.634,3,4,0,0,0,1,1,0,1,0,0,3,3,4,0,18,0,0,0,170,15.52984339,0.0,11.49902367,5.907179729,0.0,0.0,4.794537184,0.0,0.0,0.0,76.50871747,56.22111537,12.96557803,0.0,15.51058734,1,15.00759197,5.907179729,0.0,5.316788604,0.0,103.2360615,6.544756406,35.91459291,11.49902367,11.23333333,5.316788604,0.0,11.49902367,0.0,22.66499092,11.21535881,0.0,102.3786914,30.35114142,0.0,0.0,69.56,0.0,0.0,11.87859132,21.68941733,0.895021646,-0.143774551,4.758194087,22.27910011,2.810116728,0.0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,11,0.139783296
STF-31 (BRD:BRD-K22477529-001-02-7),0.3209074399910581,1,2.727479595,1.618021975,1103.109854,21.77781011,17.21551677,18.03201335,14.14881504,9.555961676,11.03912492,7.991676415,9.758629646,4.632485754,6.049631116,2.809700073,3.827441069,10.02329115,13.21233417,22.76241008,11.25083777,11.12690298,0.0,60.92462369,12.13273414,35.79407359,0.0,0.966666667,1.633333333,2.2,0.217391304,-3.03,30,398.338,4034575.096,21.67344037,8.769570564,5.522367993,176.9769146,12.56370193,12.56370193,0.040891648,-3.624100609,4.1099,117.7997,423.538,2,6,0,0,0,1,2,1,3,0,0,4,2,7,1,6,0,0,0,156,5.316788604,0.0,0.0,10.02329115,5.907179729,0.0,9.778515705,13.13989185,0.0,0.0,45.03667987,52.94009586,18.30505147,16.77971332,6.335558824,3,13.21233417,21.61785716,0.0,9.706073385,0.0,37.62644195,5.316788604,89.7477123,0.0,11.83333333,10.03888347,5.687386275,0.0,0.0,19.30895523,21.98303803,0.0,42.25610326,77.9528413,0.0,0.0,88.16,27.72912098,0.0,16.4546271,2.757491432,2.866014604,-0.255491865,17.1758613,3.19396691,6.369176825,-3.624100609,0,0,0,1,0,0,1,1,0,1,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.624500953
NAMPT-IN-1 (BRD:BRD-K18280217-001-01-0),0.3289189282452247,1,2.63859964,1.60495537,971.3563451,21.07070333,16.45986803,17.27636461,13.61190488,9.265387315,10.91765254,7.699767741,9.422062773,4.384544139,6.017740175,3.178845916,4.667137036,21.37719557,18.31886156,12.51406169,30.94723254,11.12690298,13.8474744,41.55906515,6.066367068,9.706073385,4.736862954,1.310344828,2.103448276,2.793103448,0.4,-2.65,29,394.303,2043384.334,21.06834495,8.380483309,6.164697444,170.126566,12.43380766,12.43380766,0.05966796,-3.662961593,1.5579,109.0023,419.503,2,8,0,1,1,1,1,1,2,0,0,6,2,9,2,7,0,0,0,156,14.74330008,5.749511833,6.606881965,10.02329115,5.907179729,0.0,14.50061057,8.417796984,0.0,0.0,6.066367068,55.66066728,24.97374266,17.55074799,6.088376317,3,23.05572452,21.61785716,0.0,9.883888252,0.0,32.41410324,23.62658684,53.85242547,5.749511833,14.24137931,9.458957818,5.687386275,5.749511833,0.0,53.82093515,27.78340637,0.0,24.97437738,42.72552249,0.0,0.0,108.83,32.31818359,0.0,18.09825497,9.750686727,1.091193008,0.034014581,8.751351279,3.809113213,3.810164221,-3.662961593,1,0,0,1,0,0,1,1,0,2,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.705001265
SU3327 (BRD:BRD-K32730239-001-01-0),0.3301904238679918,1,2.756655984,2.140448931,494.3287713,10.83649881,6.984796373,9.434286115,7.147867046,3.519869593,5.969359336,2.229785267,5.742340672,1.248932077,4.075938167,0.717998654,3.338382024,4.923311049,10.11431827,5.001081977,13.81086984,11.33678588,29.2955144,0.0,0.0,15.18134214,5.733667477,1.4,2.2,2.733333333,0.0,-1.26,15,258.289,3809.69857,10.26433036,4.082142093,2.400925035,95.51259782,10.39216015,10.39216015,0.009247449,-0.476003716,1.6362,57.2128,261.313,2,7,0,0,0,0,0,2,2,0,0,9,1,10,2,3,0,0,0,78,5.733667477,6.196843572,8.679311361,5.13155848,0.0,5.001081977,10.11431827,4.983978521,0.0,10.19736362,11.33678588,23.09867083,0.0,4.923311049,2.793363669,2,4.923311049,44.56809716,0.0,15.18134214,0.0,8.679311361,5.733667477,16.31116184,0.0,10.4,5.733667477,10.13264046,0.0,34.43545671,20.10465319,0.0,10.11431827,0.0,14.87615493,0.0,0.0,107.83,1.175553666,3.426015212,13.79602605,18.1574109,5.392025542,0.0,0.0,1.219635299,0.0,0.0,0,0,1,3,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.660348284
GPP-78 (BRD:BRD-K83289131-003-01-0),0.3369209542140553,1,3.338135553,1.132390048,1141.417452,22.71912141,18.72975391,18.72975391,16.29282634,11.54283471,11.54283471,8.086107842,8.086107842,5.572950636,5.572950636,3.818185932,3.818185932,0.0,4.794537184,5.907179729,6.420821623,66.72053327,0.0,12.39368714,65.47595012,32.74556817,0.0,0.818181818,1.575757576,2.424242424,0.259259259,-3.8,33,410.331,57408347.27,22.39594151,11.715532,6.589509947,194.2485899,12.45505412,12.45505412,0.073081289,0.073081289,5.9864,131.4627,439.563,1,6,0,0,0,1,2,2,4,0,0,5,1,6,2,11,0,0,0,168,5.316788604,5.693927995,0.0,5.907179729,0.0,0.0,14.46031864,0.0,0.0,5.098681808,73.00678651,36.60419594,42.17355443,6.196843572,7.950920285,4,4.794537184,11.594566,0.0,19.97784836,0.0,45.06968614,5.316788604,85.32056847,22.38428247,10.78787879,5.316788604,5.687386275,0.0,0.0,25.88502809,11.33929359,0.0,38.52492974,85.32056847,0.0,22.38428247,72.7,1.888849756,0.0,16.57757705,11.51348019,4.850127707,0.073081289,21.97562951,11.2700459,0.851208597,0.0,0,0,0,4,0,0,1,1,0,4,1,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0.291543208
